"res1"	"Y1_gamma1"	"LogPost"
99.9546	0.0458013	-44.4267
100.277	0.0973456	-46.0596
100.079	0.334285	-45.1288
99.8865	0.452539	-45.3547
99.8853	0.303302	-44.8683
100.096	0.230561	-44.9577
99.8266	0.450366	-45.4642
99.889	0.219586	-44.6713
100.217	0.0419243	-45.5187
100.033	0.012016	-44.5343
99.5668	0.180847	-46.5224
100.222	0.403183	-46.0114
99.7938	0.455645	-45.5819
99.8796	0.764217	-46.9608
100.084	0.75303	-47.0157
100.002	0.244717	-44.7262
99.7291	0.0928356	-45.1111
99.6467	0.266271	-45.8854
99.7882	0.258369	-45.0325
99.4654	0.349318	-47.7504
99.9153	0.248492	-44.7014
99.9153	0.664024	-46.3376
100.012	0.74992	-46.8757
100.051	0.50078	-45.631
100.026	0.550356	-45.8046
99.9825	0.975145	-48.3966
99.6498	0.506928	-46.4561
100.056	0.643328	-46.326
99.7487	0.354099	-45.4373
99.9955	0.0242481	-44.4586
100.284	0.577946	-46.9884
99.805	0.466162	-45.5857
99.805	0.603755	-46.1911
99.3847	0.301631	-48.7878
99.9212	0.37542	-45.0447
100.015	0.0896709	-44.5269
99.8442	0.542195	-45.8057
99.9897	0.168082	-44.571
100.355	0.286288	-46.9259
99.9052	0.286872	-44.8008
99.8169	0.294198	-45.008
99.9941	0.643859	-46.2399
99.631	0.762245	-47.7008
100.014	0.538693	-45.7326
99.5975	1.11241	-50.1083
99.9367	0.104188	-44.4646
99.9505	0.207886	-44.6086
99.6835	0.33624	-45.7571
100.053	0.614153	-46.1672
100.141	0.243773	-45.1917
99.7796	0.215797	-44.9883
99.828	0.152907	-44.7071
100.159	0.211994	-45.237
99.5964	0.421122	-46.5819
100.41	0.617144	-48.0905
99.8793	0.402245	-45.1796
100.253	0.186979	-45.8847
99.6997	0.0436262	-45.2824
100.03	0.0939414	-44.5644
100.03	0.133064	-44.6016
99.9491	0.150938	-44.5177
99.9739	0.599683	-45.9918
100.092	0.331371	-45.1651
100.205	0.262325	-45.6035
100.107	0.151176	-44.8941
99.9127	0.26095	-44.7314
100.268	0.784959	-47.8824
100.159	0.783617	-47.4153
100.207	0.186538	-45.524
100.137	0.500775	-45.8975
100.036	0.22887	-44.7617
99.8799	0.41788	-45.234
99.7698	0.129931	-44.9172
100.065	0.00197692	-44.6325
99.758	0.379341	-45.4662
100.008	0.252641	-44.7523
99.8399	0.363255	-45.132
99.7564	0.158615	-45.0172
100.167	0.553324	-46.2436
100.334	0.367576	-46.8168
99.7727	0.151792	-44.9272
100.126	0.539479	-46.0172
99.8137	0.314399	-45.0695
99.9881	0.03301	-44.4502
99.9042	0.206223	-44.6267
100.437	0.452042	-47.972
99.7722	0.10832	-44.8854
100.17	0.392067	-45.6801
99.9808	0.396717	-45.1238
100.242	0.0347276	-45.7248
99.8968	0.0347276	-44.4514
99.8968	0.138553	-44.5319
99.7494	0.0543536	-44.9714
100.124	0.268257	-45.1529
99.4286	0.264566	-48.1959
100.087	0.149055	-44.8044
99.9142	0.321061	-44.8838
100.174	0.647573	-46.7104
99.7607	0.17494	-45.0159
100.154	0.361262	-45.5161
99.6298	0.402645	-46.2831
99.5792	0.412146	-46.7017
99.9094	0.0292287	-44.4352
99.4549	0.464082	-47.9854
100.166	0.127265	-45.1926
100.156	0.0312498	-45.084
100.033	0.0369817	-44.5392
99.7935	0.43134	-45.4949
99.9834	0.0762068	-44.4651
99.7891	0.342906	-45.2334
99.7046	0.28937	-45.5244
99.9646	0.11207	-44.4782
99.7768	0.275025	-45.1159
99.9514	0.481646	-45.4344
99.6262	0.160828	-45.9368
99.7713	0.532728	-45.9672
99.8307	0.698773	-46.6404
99.6688	0.0764863	-45.5265
100.076	0.00320686	-44.6756
99.7529	0.194693	-45.0839
99.7529	0.221446	-45.1261
99.9123	0.156996	-44.5393
99.9485	0.795476	-47.128
100.361	0.417895	-47.1493
99.7919	0.417895	-45.4542
100.16	0.691199	-46.8866
100.244	0.442258	-46.2656
99.4655	0.0641373	-47.7332
99.826	0.219101	-44.8174
99.6649	0.0357999	-45.5447
100.104	0.0572092	-44.8056
99.9928	0.30091	-44.8456
99.9928	0.666355	-46.3633
100.081	0.622816	-46.2749
100.056	0.0805567	-44.6282
100.121	0.115196	-44.9237
99.76	0.235131	-45.1145
99.9071	0.118121	-44.4964
99.7716	0.0328621	-44.8463
99.8641	0.310051	-44.9238
99.873	0.235458	-44.7302
99.9727	0.0727236	-44.4519
100.127	0.356233	-45.3724
99.8626	0.222263	-44.725
99.8224	0.17378	-44.7543
99.4482	0.178208	-47.9506
99.8203	0.0049629	-44.6336
99.7421	0.278926	-45.2905
100.243	0.402029	-46.1496
99.398	0.231156	-48.6377
99.6521	0.321642	-45.9419
100.167	0.1599	-45.223
100.274	0.193717	-46.0709
100.052	0.117501	-44.6456
99.8892	0.0654849	-44.4761
99.9375	0.0642508	-44.4342
99.8907	0.25158	-44.735
100.234	0.367692	-46.005
100.176	0.330158	-45.5553
99.9703	0.107475	-44.4776
100.486	0.637705	-48.8531
100.001	0.0346191	-44.4702
100.001	0.280022	-44.8039
99.6166	0.280022	-46.1499
100.12	0.280022	-45.1581
99.945	0.212768	-44.6172
100.077	0.132263	-44.746
99.8515	0.592283	-46.0306
99.7415	0.327028	-45.4026
99.4578	0.362101	-47.847
100.272	0.617258	-47.0702
99.7864	0.0135507	-44.7722
99.8941	0.231274	-44.6872
99.6766	0.14624	-45.5116
99.7907	0.905068	-48.0346
99.7343	0.662904	-46.7178
99.9588	0.208666	-44.6124
100.053	0.129004	-44.659
99.8198	0.738688	-46.8961
99.7448	0.190457	-45.1212
99.8876	0.583652	-45.935
99.9372	0.179246	-44.5595
99.9372	0.0543767	-44.429
100.161	0.206428	-45.2462
100.15	0.284988	-45.3156
100.065	0.252198	-44.8902
100.065	0.223513	-44.8349
99.7772	0.201861	-44.9764
99.9153	0.692495	-46.5001
99.9923	0.335788	-44.9413
99.9448	0.429741	-45.2284
99.7074	0.346955	-45.6363
