"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
114.195	103.138	9.03815	0.231086	-67.9411
113.686	103.864	8.98372	0.383915	-67.7246
113.554	103.407	8.99843	0.650594	-67.2008
113.732	103.166	8.99843	0.408539	-66.6178
113.732	103.068	9.03452	0.408539	-66.891
113.651	103.23	8.99317	0.262381	-66.5442
113.436	104.13	8.99317	0.945914	-70.0392
114.121	103.362	9.02249	0.945914	-68.2758
113.875	102.681	9.0266	0.825146	-68.9594
113.914	103.777	9.00466	0.775128	-67.7306
113.918	102.722	8.96337	0.880377	-68.9267
113.918	103.601	8.96337	0.429909	-66.7145
113.865	103.381	9.01554	0.473631	-66.4519
113.757	103.36	8.98954	0.213507	-66.1809
113.757	103.36	9.01409	0.221464	-66.1847
113.71	103.058	8.96377	0.89547	-67.9404
113.83	103.4	8.96377	0.116375	-66.1341
113.889	103.449	8.98381	0.411554	-66.416
114.029	103.839	8.98381	0.689606	-67.9881
113.674	103.236	8.99161	0.483387	-66.6775
113.806	103.618	9.00675	0.134538	-66.6397
113.929	103.897	9.00675	0.585663	-67.8549
113.862	103.366	9.00675	1.10946	-68.5374
113.655	102.984	9.00675	0.972293	-68.4423
113.727	103.314	8.99391	0.58618	-66.6972
114.22	103.349	8.96884	0.620267	-67.9424
114.745	102.877	8.98246	1.36076	-73.4146
114.529	103.456	8.98246	0.587429	-70.4687
113.758	102.628	8.98246	0.727972	-69.1063
113.758	103.638	8.98222	0.410072	-66.7011
113.483	103.402	8.98222	0.0511357	-67.337
113.679	103.318	8.98222	0.321827	-66.401
113.725	103.323	9.03	1.11716	-68.6055
113.771	103.138	8.98013	0.929431	-67.8863
113.93	103.708	8.998	0.590152	-67.194
113.927	104.049	8.99602	0.590152	-68.6135
113.927	103.256	8.98413	0.988779	-68.0695
114.046	104.181	8.98413	0.328866	-70.6239
113.85	103.162	8.98413	0.730748	-67.204
113.835	103.548	8.98273	0.531979	-66.6499
113.915	103.548	9.03075	0.226893	-66.4936
113.447	103.656	9.02875	1.12941	-69.3752
113.447	103.088	9.00219	0.0103754	-68.0905
113.447	103.546	9.02923	0.680001	-67.7805
113.621	103.061	8.96654	0.000664271	-67.1317
113.536	103.878	9.00211	0.635198	-68.1934
113.734	103.579	9.00211	0.585254	-66.82
113.887	103.518	9.00211	0.585254	-66.7554
113.551	103.392	9.02285	0.509474	-66.9753
113.34	103.226	9.04095	0.773258	-68.5142
114.074	103.691	8.97027	0.0288436	-67.7286
113.523	103.54	8.96964	0.0288436	-67.339
113.957	102.944	9.00967	0.518392	-67.594
113.556	102.841	9.01546	0.431689	-68.3925
113.649	103.195	8.98596	0.269497	-66.6206
113.649	103.195	8.97747	0.299358	-66.6352
113.649	103.061	9.00388	0.00970577	-67.0169
113.411	103.404	9.00388	0.440755	-67.6571
113.874	103.091	9.02625	0.661108	-67.1967
113.68	103.362	9.02554	0.201587	-66.3248
113.758	103.686	9.0078	0.798125	-67.5202
113.428	103.626	9.02183	0.474758	-67.8421
113.731	102.856	8.9726	0.0061424	-68.0006
113.59	103.072	8.9726	0.0957745	-67.2213
113.994	103.403	8.9726	0.0170162	-66.4615
113.716	103.129	8.98911	0.485832	-66.8182
113.76	103.428	8.9649	0.728073	-67.0121
113.831	104.235	9.03801	1.28497	-70.9842
113.528	103.664	9.03968	0.959443	-68.4323
113.485	102.853	9.03968	0.427928	-68.6669
113.775	103.588	9.03968	0.574251	-66.786
113.864	103.253	9.03968	0.433551	-66.4759
114.021	103.61	9.024	0.733047	-67.4852
113.872	103.505	9.024	0.000394858	-66.33
113.728	103.2	8.97883	0.000394858	-66.344
114.014	103.449	8.97325	0.134784	-66.6014
114.339	103.217	8.97325	0.511071	-68.8515
113.651	103.555	9.04043	1.08943	-68.6105
113.546	103.139	8.96516	0.268984	-67.1899
113.9	103.346	8.96516	0.245397	-66.248
114.259	103.465	9.0398	0.673598	-68.2512
113.969	104.076	9.00847	0.698174	-68.8548
114.116	103.249	8.97935	0.477728	-67.3055
113.585	103.249	9.01792	0.189262	-66.7529
113.585	103.457	8.98836	0.183308	-66.7457
113.585	103.066	9.01425	0.183308	-67.259
114.17	103.039	9.00452	0.0578381	-68.1365
113.566	103.585	8.97455	0.258615	-67.0706
113.522	103.029	9.02822	1.03227	-68.865
113.46	102.996	8.97084	0.143581	-68.3534
113.628	103.532	8.98754	0.249595	-66.6851
113.583	103.833	9.00466	1.0047	-68.8032
113.688	102.998	9.01018	0.63665	-67.4556
113.548	103.275	9.01018	0.167327	-66.909
113.537	103.161	9.04084	0.167327	-67.1863
113.772	103.255	9.00308	0.264344	-66.2741
114.021	103.342	8.9986	0.0401746	-66.5445
113.792	103.542	8.97767	0.276969	-66.3874
113.829	103.841	9.01381	1.21466	-69.5495
113.612	103.303	8.96723	0.532811	-66.8331
113.703	103.547	9.0269	0.30805	-66.51
113.911	103.516	8.96409	0.667161	-66.9694
113.95	103.55	8.96409	0.747663	-67.2804
114.072	103.624	8.97602	0.57499	-67.3819
113.884	102.686	8.99407	0.597459	-68.7918
113.643	103.761	8.99407	0.422288	-67.3231
113.691	103.281	9.02569	0.522168	-66.6523
113.718	103.978	9.01203	0.9825	-68.9245
113.881	102.815	8.97831	0.72033	-68.2175
113.709	102.989	8.99467	0.105329	-67.1861
114.165	103.118	9.01309	0.247686	-67.7812
113.335	103.035	9.04164	1.95255	-74.8533
113.977	103.45	8.98646	1.28994	-69.624
113.923	103.45	8.98646	0.467047	-66.5489
114.025	103.482	9.02762	0.595803	-67.05
113.923	103.418	9.00442	0.0497061	-66.2617
113.672	102.895	9.00442	0.235534	-67.7952
113.672	103.855	8.99693	1.05884	-68.9255
113.982	103.594	8.97187	0.141595	-66.8349
113.436	103.131	8.96544	0.654455	-67.9624
113.659	103.574	9.02648	0.0653274	-66.7734
