               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.814475E+02   0.364120E-03
Maximum           0.850979E+02   0.487042E+01
Range             0.365040E+01   0.487006E+01
Mean              0.834134E+02   0.706681E+00
Median            0.833986E+02   0.559632E+00
Q10%              0.828173E+02   0.127825E+00
Q25%              0.830645E+02   0.254945E+00
Q75%              0.837494E+02   0.967180E+00
Q90%              0.840242E+02   0.143623E+01
St.Dev.           0.504195E+00   0.605233E+00
Variance          0.254212E+00   0.366307E+00
CV                0.604453E-02   0.856444E+00
Skewness         -0.671452E-03   0.198765E+01
Kurtosis          0.484596E+00   0.672612E+01
MaxPost           0.833339E+02   0.207619E-02
