               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.570193E+02   0.557365E+02   0.811159E+01   0.148325E-02
Maximum           0.119290E+03   0.110936E+03   0.963639E+01   0.356433E+02
Range             0.622707E+02   0.551995E+02   0.152480E+01   0.356418E+02
Mean              0.863738E+02   0.885989E+02   0.885639E+01   0.351125E+01
Median            0.863355E+02   0.884495E+02   0.883931E+01   0.160912E+01
Q10%              0.837830E+02   0.852865E+02   0.826740E+01   0.272413E+00
Q25%              0.852299E+02   0.868446E+02   0.849231E+01   0.678770E+00
Q75%              0.872689E+02   0.898987E+02   0.924047E+01   0.366831E+01
Q90%              0.890707E+02   0.919359E+02   0.947457E+01   0.927051E+01
St.Dev.           0.412126E+01   0.424596E+01   0.431063E+00   0.517472E+01
Variance          0.169848E+02   0.180282E+02   0.185815E+00   0.267778E+02
CV                0.477142E-01   0.479234E-01   0.486725E-01   0.147376E+01
Skewness          0.219385E+00  -0.299544E-01   0.755308E-01   0.292482E+01
Kurtosis          0.176680E+02   0.134838E+02  -0.114524E+01   0.100050E+02
MaxPost           0.862069E+02   0.885243E+02   0.886799E+01   0.581834E-01
