res1           Y1_gamma1      LogPost        
   0.999868E+02   0.103872E+00  -0.586653E+02
   0.997507E+02   0.263898E+00  -0.584666E+02
   0.997211E+02   0.480733E+00  -0.590352E+02
   0.995907E+02   0.328909E+00  -0.590994E+02
   0.997820E+02   0.903759E+00  -0.610833E+02
   0.997651E+02   0.418257E-01  -0.582445E+02
   0.997602E+02   0.297926E+00  -0.585143E+02
   0.100059E+03   0.242507E+00  -0.591811E+02
   0.100005E+03   0.470194E+00  -0.593687E+02
   0.100058E+03   0.232135E+00  -0.591658E+02
   0.100272E+03   0.472420E+00  -0.613059E+02
   0.998512E+02   0.132823E-03  -0.582391E+02
   0.998321E+02   0.452489E+00  -0.588826E+02
   0.998407E+02   0.940167E+00  -0.613457E+02
   0.992734E+02   0.202824E+00  -0.619525E+02
   0.999925E+02   0.279288E+00  -0.588763E+02
   0.996870E+02   0.271152E+00  -0.586155E+02
   0.997367E+02   0.263969E+00  -0.584883E+02
   0.994433E+02   0.196616E+00  -0.600163E+02
   0.998522E+02   0.808962E+00  -0.605201E+02
   0.998522E+02   0.632746E+00  -0.595919E+02
   0.994125E+02   0.916492E+00  -0.622175E+02
   0.993189E+02   0.421374E+00  -0.614037E+02
   0.998764E+02   0.305263E+00  -0.585621E+02
   0.995333E+02   0.220373E+00  -0.593052E+02
   0.995699E+02   0.122925E+00  -0.589983E+02
   0.997371E+02   0.707919E+00  -0.599612E+02
   0.996280E+02   0.304234E+00  -0.588825E+02
   0.998924E+02   0.203738E+00  -0.584318E+02
   0.998894E+02   0.394855E+00  -0.587902E+02
   0.997192E+02   0.252662E-01  -0.583217E+02
   0.998826E+02   0.722152E-01  -0.583031E+02
   0.100295E+03   0.722152E-01  -0.613568E+02
   0.993413E+02   0.774280E-01  -0.611033E+02
   0.997933E+02   0.561249E-01  -0.582269E+02
   0.996377E+02   0.659474E+00  -0.599256E+02
   0.997699E+02   0.158635E+00  -0.583086E+02
   0.998968E+02   0.266095E+00  -0.585313E+02
   0.999158E+02   0.292472E+00  -0.586234E+02
   0.100434E+03   0.836953E+00  -0.639354E+02
   0.999183E+02   0.308960E+00  -0.586613E+02
   0.995883E+02   0.416583E+00  -0.592884E+02
   0.999362E+02   0.213355E+00  -0.585621E+02
   0.995578E+02   0.992999E+00  -0.620544E+02
   0.998662E+02   0.764374E-01  -0.582764E+02
   0.997386E+02   0.170708E+00  -0.583635E+02
   0.994571E+02   0.286407E+00  -0.599502E+02
   0.100285E+03   0.105243E+00  -0.612221E+02
   0.998369E+02   0.218337E+00  -0.583703E+02
   0.999707E+02   0.392952E+00  -0.590171E+02
   0.995604E+02   0.295544E+00  -0.592149E+02
   0.999425E+02   0.199162E+00  -0.585661E+02
   0.996897E+02   0.389279E+00  -0.588443E+02
   0.998774E+02   0.567481E+00  -0.593429E+02
   0.998940E+02   0.295014E+00  -0.585761E+02
   0.996741E+02   0.459873E+00  -0.590770E+02
   0.996427E+02   0.329552E+00  -0.588677E+02
