res1           res2           tau1           Y1_gamma1      LogPost        
   0.113999E+03   0.111985E+03   0.131446E+01   0.148818E+00  -0.226648E+02
   0.112917E+03   0.112136E+03   0.210147E+01   0.335815E+00  -0.215546E+02
   0.112530E+03   0.111741E+03   0.177103E+01   0.164911E+00  -0.235057E+02
   0.112530E+03   0.111109E+03   0.220912E+01   0.770205E+00  -0.241343E+02
   0.112865E+03   0.112121E+03   0.165489E+01   0.153842E+01  -0.255491E+02
   0.112637E+03   0.113353E+03   0.601541E+00   0.667918E+00  -0.250571E+02
   0.117592E+03   0.113811E+03   0.601541E+00   0.880189E+00  -0.267936E+02
   0.118744E+03   0.111793E+03   0.573230E+00   0.132422E+01  -0.258773E+02
   0.117890E+03   0.112209E+03   0.703697E+00   0.992813E+00  -0.237224E+02
   0.112938E+03   0.111820E+03   0.249128E+01   0.613344E+00  -0.230123E+02
   0.112906E+03   0.113872E+03   0.226500E+01   0.109741E-01  -0.263879E+02
   0.115955E+03   0.112817E+03   0.926388E+00   0.227172E+01  -0.285071E+02
   0.112002E+03   0.112983E+03   0.111624E+01   0.709790E+00  -0.243833E+02
   0.113452E+03   0.111081E+03   0.209569E+01   0.167086E+00  -0.218826E+02
   0.116093E+03   0.112125E+03   0.937329E+00   0.895224E+00  -0.244671E+02
   0.113658E+03   0.112572E+03   0.201699E+01   0.255670E+00  -0.215615E+02
   0.119762E+03   0.113091E+03   0.766087E+00   0.299706E+00  -0.232228E+02
   0.118191E+03   0.112512E+03   0.766087E+00   0.151023E+00  -0.218698E+02
   0.114727E+03   0.112502E+03   0.929078E+00   0.808497E+00  -0.230650E+02
   0.116382E+03   0.113046E+03   0.935611E+00   0.620661E+00  -0.243372E+02
   0.116596E+03   0.112555E+03   0.633319E+00   0.254763E+00  -0.217125E+02
   0.117708E+03   0.112458E+03   0.576792E+00   0.612697E+00  -0.223496E+02
   0.120616E+03   0.112269E+03   0.603869E+00   0.154110E+01  -0.261958E+02
   0.116791E+03   0.112611E+03   0.578569E+00   0.461862E+00  -0.218998E+02
   0.118424E+03   0.112447E+03   0.564077E+00   0.581663E+00  -0.224401E+02
   0.113663E+03   0.112537E+03   0.195500E+01   0.709379E+00  -0.224044E+02
   0.113415E+03   0.112689E+03   0.214969E+01   0.688191E+00  -0.229695E+02
   0.113346E+03   0.112246E+03   0.179050E+01   0.688191E+00  -0.221002E+02
   0.115844E+03   0.113125E+03   0.934761E+00   0.161633E+01  -0.265061E+02
   0.121622E+03   0.112887E+03   0.620216E+00   0.632285E+00  -0.240253E+02
   0.118488E+03   0.113172E+03   0.626217E+00   0.667004E-01  -0.231091E+02
   0.120229E+03   0.113172E+03   0.591060E+00   0.667004E-01  -0.237555E+02
   0.117452E+03   0.112249E+03   0.689880E+00   0.101326E+01  -0.236482E+02
   0.114775E+03   0.113172E+03   0.689880E+00   0.713271E+00  -0.235506E+02
   0.113424E+03   0.113132E+03   0.816072E+00   0.394710E-01  -0.233854E+02
   0.117699E+03   0.112590E+03   0.771767E+00   0.233053E-01  -0.216825E+02
   0.117084E+03   0.113026E+03   0.901248E+00   0.507124E+00  -0.250778E+02
   0.113581E+03   0.111465E+03   0.225445E+01   0.797413E+00  -0.222395E+02
   0.116629E+03   0.113067E+03   0.694598E+00   0.822443E+00  -0.232365E+02
   0.113545E+03   0.112118E+03   0.152966E+01   0.142840E+00  -0.212232E+02
   0.114783E+03   0.112874E+03   0.855566E+00   0.835662E+00  -0.233618E+02
   0.113010E+03   0.111928E+03   0.174747E+01   0.931650E+00  -0.232131E+02
   0.114490E+03   0.111405E+03   0.156415E+01   0.121576E+01  -0.255385E+02
   0.113725E+03   0.111783E+03   0.178801E+01   0.670345E-01  -0.219831E+02
   0.112957E+03   0.112903E+03   0.190826E+01   0.852721E+00  -0.237869E+02
   0.114182E+03   0.112400E+03   0.663673E+00   0.459455E+00  -0.225374E+02
   0.113722E+03   0.111857E+03   0.154867E+01   0.638591E-01  -0.217725E+02
   0.113462E+03   0.113076E+03   0.146355E+01   0.420814E-01  -0.231680E+02
   0.121614E+03   0.112573E+03   0.641901E+00   0.371995E+00  -0.234593E+02
   0.114516E+03   0.112945E+03   0.162486E+01   0.150279E+01  -0.264975E+02
   0.110584E+03   0.113073E+03   0.115559E+01   0.147971E+01  -0.285003E+02
   0.119239E+03   0.113533E+03   0.664161E+00   0.151084E+01  -0.268006E+02
   0.114042E+03   0.111985E+03   0.201376E+01   0.594273E+00  -0.224289E+02
