X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.316417E+01   0.316417E+01   0.729029E+02   0.729029E+02   0.657447E+02   0.715816E+01   0.371884E+01
   0.336401E+01   0.336401E+01   0.614081E+02   0.614081E+02   0.657447E+02  -0.433663E+01  -0.106180E+01
   0.371074E+01   0.371074E+01   0.653030E+02   0.653030E+02   0.657447E+02  -0.441670E+00  -0.292700E+00
   0.376708E+01   0.376708E+01   0.648135E+02   0.648135E+02   0.657447E+02  -0.931188E+00  -0.672357E+00
   0.384600E+01   0.384600E+01   0.646149E+02   0.646149E+02   0.657447E+02  -0.112980E+01  -0.785500E+00
   0.385074E+01   0.385074E+01   0.654983E+02   0.654983E+02   0.657447E+02  -0.246388E+00  -0.257656E+00
   0.396198E+01   0.396198E+01   0.735933E+02   0.735933E+02   0.748670E+02  -0.127366E+01  -0.281966E+00
   0.420453E+01   0.420453E+01   0.766909E+02   0.766909E+02   0.748670E+02   0.182395E+01   0.140505E+01
   0.435522E+01   0.435522E+01   0.759071E+02   0.759071E+02   0.748670E+02   0.104008E+01   0.636499E+00
   0.435784E+01   0.435784E+01   0.776765E+02   0.776765E+02   0.748670E+02   0.280946E+01   0.136756E+01
   0.441455E+01   0.441455E+01   0.754057E+02   0.754057E+02   0.748670E+02   0.538750E+00   0.462009E+00
   0.452948E+01   0.452948E+01   0.736505E+02   0.736505E+02   0.748670E+02  -0.121646E+01  -0.744909E+00
   0.473641E+01   0.473641E+01   0.740310E+02   0.740310E+02   0.748670E+02  -0.836047E+00  -0.575513E+00
   0.480272E+01   0.480272E+01   0.737032E+02   0.737032E+02   0.748670E+02  -0.116377E+01  -0.740805E+00
   0.513422E+01   0.513422E+01   0.746257E+02   0.746257E+02   0.748670E+02  -0.241340E+00  -0.169358E+00
   0.513941E+01   0.513941E+01   0.749957E+02   0.749957E+02   0.748670E+02   0.128694E+00   0.703956E-01
   0.539980E+01   0.539980E+01   0.746894E+02   0.746894E+02   0.748670E+02  -0.177561E+00  -0.142695E+00
   0.544297E+01   0.544297E+01   0.724285E+02   0.724285E+02   0.748670E+02  -0.243846E+01  -0.185650E+01
   0.546326E+01   0.546326E+01   0.754227E+02   0.754227E+02   0.748670E+02   0.555726E+00   0.466757E+00
   0.559880E+01   0.559880E+01   0.763810E+02   0.763810E+02   0.748670E+02   0.151404E+01   0.630057E+00
